"week_num","Hours_Above_80","Hours_Above_75","Hours_Below_50","Avg_HourlyRelativeHumidity","Avg_HourlyWetBulbTemperature","Avg_HourlyWindSpeed","Lagged_week_num"
"2014-04",0,0,231,60.6103896103896,16.6060606060606,8.97835497835498,"2014-03"
"2014-05",0,0,192,60.3080808080808,24.3787878787879,4.48730964467005,"2014-04"
"2014-06",0,0,274,75.7846715328467,25.1204379562044,4.37362637362637,"2014-05"
"2014-07",0,0,256,74.19140625,26.0546875,7.3671875,"2014-06"
"2014-08",0,0,213,74.7809917355372,33.0206611570248,6.49173553719008,"2014-07"
"2014-09",0,0,184,53.4130434782609,20.9402173913043,6.33695652173913,"2014-08"
"2014-10",0,0,169,55.7853107344633,22.7683615819209,4.80113636363637,"2014-09"
"2014-11",0,0,189,64.940170940171,32.1923076923077,8.03004291845494,"2014-10"
"2014-12",0,0,170,56.4627659574468,31.0957446808511,6.40106951871658,"2014-11"
"2014-13",0,0,231,67.8262548262549,34.7992277992278,8.33590733590734,"2014-12"
"2014-14",0,0,176,68.3665158371041,36.4570135746606,6.17727272727273,"2014-13"
"2014-15",0,0,50,62.4975609756098,45.8439024390244,7.2390243902439,"2014-14"
"2014-16",0,0,122,66.8451327433628,44.2389380530973,8.94642857142857,"2014-15"
"2014-17",0,0,123,71.4846153846154,43.7038461538462,5.43846153846154,"2014-16"
"2014-18",0,0,98,72.1166666666667,47.7416666666667,7.11666666666667,"2014-17"
"2014-19",7,14,33,64.0582524271845,51.8883495145631,5.49029126213592,"2014-18"
"2014-20",7,17,36,71.6493506493506,56.3722943722944,7.03463203463203,"2014-19"
"2014-21",0,0,59,79.9384615384616,51.3846153846154,2.94094488188976,"2014-20"
"2014-22",0,14,120,80.7692307692308,47.8251748251748,3.5948905109489,"2014-21"
"2014-23",23,41,17,79.8576512455516,56.8790035587189,3.23214285714286,"2014-22"
"2014-24",5,28,0,80.2759856630824,62.8602150537634,4.59057971014493,"2014-23"
"2014-25",22,68,34,66.6190476190476,58.5571428571429,3.98564593301435,"2014-24"
"2014-26",39,96,17,71.5076923076923,59.3923076923077,4.04230769230769,"2014-25"
"2014-27",53,115,0,75.5436507936508,67.7539682539683,7.68525896414342,"2014-26"
"2014-28",48,81,0,75.7330316742081,65.8009049773756,5.11764705882352,"2014-27"
"2014-29",13,93,0,86.8481375358166,66.5816618911175,4.1867816091954,"2014-28"
"2014-30",25,63,0,79.6340425531915,65.131914893617,4.41276595744681,"2014-29"
"2014-31",27,60,0,83.0286738351254,62.3189964157706,3.4336917562724,"2014-30"
"2014-32",38,67,0,83.728125,61.071875,1.70625,"2014-31"
"2014-33",11,41,0,80.5714285714286,60.515873015873,4.2988047808765,"2014-32"
"2014-34",8,36,42,81.9612676056338,56.3169014084507,2.07067137809187,"2014-33"
"2014-35",35,62,28,77.2456896551724,60.1853448275862,3.77489177489177,"2014-34"
"2014-36",58,126,0,80.8375451263538,66.0108303249097,4.1985559566787,"2014-35"
"2014-37",0,7,79,84.1277955271566,55.0670926517572,2.63782051282051,"2014-36"
"2014-38",0,22,167,83.8489425981873,49.8308157099698,1.99090909090909,"2014-37"
"2014-39",12,17,133,83.4496644295302,51.2718120805369,2.4949494949495,"2014-38"
"2014-40",0,1,29,89.2372881355932,55.1559322033898,4.4554794520548,"2014-39"
"2014-41",0,0,135,82.1102661596958,46.0570342205323,3.20532319391635,"2014-40"
